timestamp,epsilon,score_total,score_wrangling,dp_gain,util_marginal,util_joint,train_sec,gen_sec,rows
2026-02-01 11:52:56,100.0,0.9962,0.9942,0.0020,0.5723,0.3612,0.69,27.61,100000
2026-02-01 12:42:27,1.0,0.9962,0.9962,0.0000,0.5681,0.3566,0.95,27.26,100000
2026-02-01 13:00:37,100.0,0.9962,0.9942,0.0020,0.5460,0.3554,0.71,57.35,100000
2026-02-01 13:15:14,100.0,0.9962,0.9922,0.0040,0.5348,0.3496,0.72,27.70,100000
2026-02-01 13:58:21,100.0,0.9962,0.9957,0.0005,0.5348,100000
2026-02-01 16:28:08,100.0,0.9962,0.9942,0.0020,0.5678,100000
